,종목명,업종명
0,AJ네트웍스,서비스업
1,AK홀딩스,기타금융
2,BGF,기타금융
3,BGF리테일,유통업
4,BNK금융지주,기타금융
5,BYC,섬유의복
6,CJ,기타금융
7,CJ CGV,서비스업
8,CJ대한통운,운수창고업
9,CJ씨푸드,음식료품
10,CJ제일제당,음식료품
11,CR홀딩스,비금속광물
12,CS홀딩스,기타금융
13,DB,서비스업
14,DB금융투자,증권
15,DB손해보험,보험
16,DB하이텍,전기전자
17,DGB금융지주,기타금융
18,DI동일,유통업
19,DL,화학
20,DL이앤씨,건설업
21,DN오토모티브,전기전자
22,DRB동일,화학
23,DSR,철강금속
24,DSR제강,철강금속
25,E1,유통업
26,F&F,섬유의복
27,F&F홀딩스,기타금융
28,GKL,서비스업
29,GS,기타금융
30,GS건설,건설업
31,GS글로벌,유통업
32,GS리테일,유통업
33,HDC,기타금융
34,HDC랩스,건설업
35,HDC현대EP,화학
36,HDC현대산업개발,건설업
37,HD한국조선해양,기타금융
38,HD현대,기타금융
39,HD현대건설기계,기계
40,HD현대미포,운수장비
41,HD현대에너지솔루션,전기전자
42,HD현대인프라코어,기계
43,HD현대일렉트릭,전기전자
44,HD현대중공업,운수장비
45,HJ중공업,건설업
46,HL D&I,건설업
47,HLB글로벌,광업
48,HL만도,운수장비
49,HL홀딩스,기타금융
50,HMM,운수창고업
51,HS애드,서비스업
52,IHQ,서비스업
53,JB금융지주,기타금융
54,JW생명과학,의약품
55,JW중외제약,의약품
56,JW홀딩스,기타금융
57,KB금융,기타금융
58,KCC,화학
59,KCC글라스,비금속광물
60,KCTC,운수창고업
61,KC그린홀딩스,기타금융
62,KC코트렐,기계
63,KEC,전기전자
64,KG모빌리티,운수장비
65,KG스틸,철강금속
66,KG케미칼,화학
67,KH 필룩스,전기전자
68,KIB플러그에너지,기계
69,KISCO홀딩스,철강금속
70,KPX케미칼,화학
71,KPX홀딩스,화학
72,KR모터스,운수장비
73,KSS해운,운수창고업
74,KT,통신업
75,KT&G,기타제조업
76,KTcs,서비스업
77,KTis,서비스업
78,LF,섬유의복
79,LG,기타금융
80,LG디스플레이,전기전자
81,LG생활건강,화학
82,LG에너지솔루션,전기전자
83,LG유플러스,통신업
84,LG이노텍,전기전자
85,LG전자,전기전자
86,LG헬로비전,서비스업
87,LG화학,화학
88,LIG넥스원,기계
89,LS,기타금융
90,LS ELECTRIC,전기전자
91,LS네트웍스,유통업
92,LS에코에너지,기타금융
93,LX세미콘,전기전자
94,LX인터내셔널,유통업
95,LX하우시스,화학
96,LX홀딩스,기타금융
97,MH에탄올,음식료품
98,NAVER,서비스업
99,NHN,서비스업
100,NH투자증권,증권
101,NICE,서비스업
102,NICE평가정보,서비스업
103,NI스틸,철강금속
104,NPC,화학
105,OCI홀딩스,화학
106,PI첨단소재,화학
107,POSCO홀딩스,철강금속
108,S-Oil,화학
109,SBS,서비스업
110,SGC에너지,전기가스업
111,SG글로벌,운수장비
112,SG세계물산,유통업
113,SHD,철강금속
114,SH에너지화학,화학
115,SIMPAC,철강금속
116,SJM,운수장비
117,SJM홀딩스,유통업
118,SK,기타금융
119,SKC,화학
120,SK가스,유통업
121,SK네트웍스,유통업
122,SK디스커버리,기타금융
123,SK디앤디,서비스업
124,SK바이오사이언스,의약품
125,SK바이오팜,서비스업
126,SK스퀘어,기타금융
127,SK아이이테크놀로지,전기전자
128,SK오션플랜트,철강금속
129,SK이노베이션,화학
130,SK증권,증권
131,SK케미칼,화학
132,SK텔레콤,통신업
133,SK하이닉스,전기전자
134,SNT다이내믹스,운수장비
135,SNT모티브,운수장비
136,SNT에너지,기계
137,SNT홀딩스,기타금융
138,SPC삼립,음식료품
139,STX,유통업
140,STX엔진,기계
141,STX중공업,기계
142,SUN&L,종이목재
143,TBH글로벌,섬유의복
144,TCC스틸,철강금속
145,TKG휴켐스,화학
146,TP,섬유의복
147,TYM,기계
148,WISCOM,화학
149,YG PLUS,서비스업
150,가온전선,전기전자
151,강남제비스코,화학
152,강원랜드,서비스업
153,갤럭시아에스엠,서비스업
154,경농,화학
155,경동나비엔,전기전자
156,경동도시가스,전기가스업
157,경동인베스트,기타금융
