날짜,건설업,광업,기계,기타금융,기타제조업,"농업, 임업 및 어업",보험,비금속광물,서비스업,섬유의복,운수장비,운수창고업,유통업,은행,음식료품,의료정밀,의약품,전기가스업,전기전자,종이목재,증권,철강금속,통신업,화학
2022-01-03,464419.0,24800.0,667981.0,2791691.0,416179.0,70220.0,375578.0,444491.0,4075574.0,525572.0,1397884.0,718275.0,1880720.0,75520.0,2830682.0,203418.0,2911091.0,466190.0,3606779.0,113957.0,341984.0,2307053.0,108740.0,9005980.0
2022-01-04,472520.0,24650.0,675182.0,2805200.0,414781.0,70760.0,382541.0,458863.0,4023857.0,528493.0,1412991.0,718564.0,1883437.0,73790.0,2834791.0,209706.0,2861431.0,467860.0,3567962.0,114619.0,343198.0,2342724.0,108310.0,9247215.0
2022-01-05,474719.0,23350.0,682455.0,2788491.0,411764.0,71780.0,390532.0,464774.0,3901830.0,526495.0,1428060.0,712614.0,1872729.0,72310.0,2824967.0,204424.0,2783115.0,463815.0,3508418.0,116070.0,340748.0,2343024.0,110110.0,9255354.0
2022-01-06,478335.0,21900.0,673439.0,2745128.0,408291.0,71640.0,392813.0,459646.0,3786697.0,518459.0,1441515.0,718049.0,1848946.0,72500.0,2807128.0,198211.0,2695183.0,460355.0,3422651.0,115228.0,332638.0,2370490.0,108975.0,9194002.0
2022-01-07,484824.0,22100.0,679913.0,2760365.0,408977.0,70780.0,396412.0,461410.0,3816244.0,525970.0,1455298.0,721519.0,1863163.0,71740.0,2844204.0,200456.0,2731785.0,461145.0,3467007.0,115983.0,333537.0,2366733.0,107560.0,9444167.0
2022-01-10,488596.0,24300.0,678307.0,2752042.0,408413.0,71610.0,411611.0,454681.0,3777567.0,516086.0,1424455.0,715808.0,1829498.0,68420.0,2866005.0,195196.0,2718060.0,461890.0,3381875.0,115282.0,333199.0,2360264.0,108115.0,9229313.0
2022-01-11,480615.0,23900.0,667830.0,2726511.0,407305.0,70640.0,401794.0,448365.0,3715559.0,513776.0,1405072.0,707534.0,1820485.0,66680.0,2834798.0,196936.0,2726356.0,459710.0,3370194.0,113972.0,330738.0,2348314.0,107410.0,9065664.0
2022-01-12,475794.0,23700.0,676886.0,2779831.0,408646.0,70630.0,407577.0,454050.0,3779559.0,519165.0,1427429.0,713051.0,1851890.0,66730.0,2854582.0,198504.0,2768847.0,461735.0,3495246.0,115557.0,334919.0,2390647.0,107755.0,9222980.0
2022-01-13,473075.0,24300.0,682604.0,2764659.0,408777.0,70060.0,406799.0,456564.0,3740422.0,526810.0,1418032.0,710156.0,1857282.0,66180.0,2846141.0,190309.0,2744512.0,465375.0,3515455.0,116067.0,335113.0,2414025.0,108450.0,9191217.0
2022-01-14,462888.0,23600.0,674895.0,2742519.0,405723.0,70360.0,405608.0,449499.0,3687048.0,526999.0,1410591.0,704373.0,1829204.0,63600.0,2821681.0,180651.0,2708284.0,469870.0,3534341.0,113749.0,333435.0,2386245.0,108290.0,9064594.0
2022-01-17,455216.0,22300.0,661643.0,2697576.0,405370.0,68510.0,400866.0,446210.0,3666874.0,519134.0,1386778.0,694319.0,1813078.0,62580.0,2803499.0,179990.0,2630533.0,464450.0,3470899.0,113234.0,331625.0,2362146.0,107090.0,8952685.0
2022-01-18,437317.0,23200.0,642618.0,2656629.0,404887.0,66170.0,399540.0,439475.0,3622950.0,519217.0,1361469.0,681679.0,1798053.0,60770.0,2777597.0,180772.0,2561069.0,464380.0,3512260.0,111530.0,326872.0,2351731.0,107975.0,8828558.0
2022-01-19,436010.0,21950.0,637581.0,2641607.0,402387.0,66180.0,404792.0,437783.0,3579812.0,514916.0,1343627.0,676405.0,1802052.0,59140.0,2764229.0,179345.0,2556577.0,462960.0,3476091.0,110257.0,325303.0,2365921.0,107735.0,8725977.0
